         Original Sample Discarded Units Trimmed Sample
mort       57.12 (20.95)   59.77 (24.65)  54.56 (16.18)
dementia     16.33 (6.9)    17.12 (7.92)   15.55 (5.63)
cvd        73.31 (26.69)    76.88 (31.7)   69.85 (20.1)
pmWith      10.54 (2.67)    11.36 (2.77)    9.74 (2.29)
ozWith      46.88 (6.18)    48.68 (6.48)   45.13 (5.31)
pmNo        14.09 (3.36)    15.57 (3.47)   12.65 (2.52)
ozNo        54.36 (7.54)    57.29 (7.99)     51.5 (5.8)
X1           1.61 (0.57)     1.66 (0.62)    1.57 (0.52)
X2           0.31 (0.86)     0.34 (0.94)    0.28 (0.77)
X3          -1.21 (1.04)    -1.24 (1.12)   -1.19 (0.95)
X4           3.23 (1.11)     3.26 (1.21)     3.2 (1.01)
X5          -2.14 (1.04)    -2.18 (1.13)   -2.11 (0.95)
